query,title,url,author,points,comments,created,hn_url
"bluesky","Bluesky and the AT Protocol: Usable decentralized social media","https://arxiv.org/abs/2402.03239","lawgimenez",245,276,"2024-02-06T15:25:33Z","https://news.ycombinator.com/item?id=39275203"
"automation tool","Don Libes' Expect: A Surprisingly Underappreciated Unix Automation Tool","http://blog.robertelder.org/don-libes-expect-unix-automation-tool/","robertelder",245,102,"2016-12-08T13:49:15Z","https://news.ycombinator.com/item?id=13130218"
"market research","Ask HN: How to do market research for product?","","mr_o47",243,112,"2023-07-04T04:07:00Z","https://news.ycombinator.com/item?id=36582117"
"bluesky","Scientists say X has lost its professional edge and Bluesky is taking its place","https://www.psypost.org/scientists-say-x-formerly-twitter-has-lost-its-professional-edge-and-bluesky-is-taking-its-place/","CharlesW",243,325,"2025-09-27T15:10:47Z","https://news.ycombinator.com/item?id=45396377"
"bluesky","Consuming the Bluesky firehose for less than $2.50/mo","https://bsky.bad-example.com/consuming-the-firehose-cheaply/","colinprince",240,61,"2024-11-15T23:13:00Z","https://news.ycombinator.com/item?id=42152362"
"automation tool","n8n.io - A powerful workflow automation tool","https://n8n.io","sacrosanct",237,99,"2023-08-26T16:06:42Z","https://news.ycombinator.com/item?id=37274052"
"web scraping","Mastering Web Scraping in Python: Crawling from Scratch","https://www.zenrows.com/blog/mastering-web-scraping-in-python-crawling-from-scratch","maltz",233,81,"2021-08-11T13:55:49Z","https://news.ycombinator.com/item?id=28142002"
"indie hacker","After losing my savings as an indie hacker, I can't do it anymore. I quit.","https://www.indiehackers.com/post/after-losing-38676-as-an-indie-hacker-i-cant-do-it-anymore-i-quit-8673223598","ChanningAllen",232,144,"2020-11-15T20:36:56Z","https://news.ycombinator.com/item?id=25104578"
"indie hacker","What tech stacks are indie hackers using for their apps, and why?","https://www.indiehackers.com/round-table/what-tech-should-you-use-in-2018","ChanningAllen",230,192,"2018-07-20T19:38:14Z","https://news.ycombinator.com/item?id=17578226"
"MCP server","Show HN: WhatsApp MCP Server","https://github.com/lharries/whatsapp-mcp","lharries",229,138,"2025-03-31T09:32:54Z","https://news.ycombinator.com/item?id=43532967"
"MCP server","Damn Vulnerable MCP Server","https://github.com/harishsg993010/damn-vulnerable-MCP-server","mrxhacker99",227,63,"2025-04-16T16:00:21Z","https://news.ycombinator.com/item?id=43707021"
"bluesky","Jack Dorsey Unveils Bluesky Social","https://ssaurel.medium.com/jack-dorsey-unveils-bluesky-social-the-decentralized-twitter-killer-cc6eec0c56e5","throw7",226,162,"2022-10-24T23:05:09Z","https://news.ycombinator.com/item?id=33323815"
"AI startup","Tenstorrent and the State of AI Hardware Startups","https://irrationalanalysis.substack.com/p/tenstorrent-and-the-state-of-ai-hardware","zdw",224,124,"2024-12-15T02:59:58Z","https://news.ycombinator.com/item?id=42421157"
"AI startup","Show HN: I'm 16 and building an AI based startup called Factful with friends","https://factful.io/","helloduck1234",222,152,"2024-05-01T12:00:10Z","https://news.ycombinator.com/item?id=40222051"
"bluesky","Purchase and manage domains directly through Bluesky","https://blueskyweb.xyz/blog/7-05-2023-namecheap","ted0",221,339,"2023-07-07T02:43:08Z","https://news.ycombinator.com/item?id=36626405"
"web scraping","Web scraping with Python open knowledge","https://github.com/reanalytics-databoutique/webscraping-open-project","PigiVinci83",219,74,"2022-05-27T16:45:51Z","https://news.ycombinator.com/item?id=31531694"
"AI startup","OpenAI Is Just Another Boring, Desperate AI Startup","https://www.wheresyoured.at/sora2-openai/","speckx",218,262,"2025-10-03T16:37:01Z","https://news.ycombinator.com/item?id=45464849"
